;addr_build;addr_lat;addr_lng;addr_metro;addr_street;city;employer_name;employer_url;employer_url_vacancy;vac_money_cur;vac_money_from;vac_money_to;vac_name
0;254;59.89607;30.334984;Московские ворота;Лиговский проспект;Санкт-Петербург;ТекФорс Инжиниринг;https://api.hh.ru/employers/934019;https://hh.ru/vacancy/26609651;RUR;90000.0;140000.0;Системный администратор
1;8;59.935944;30.416443;Новочеркасская;проспект Шаумяна;Санкт-Петербург;ОКЕЙ – Федеральная розничная сеть;https://api.hh.ru/employers/1276;https://hh.ru/vacancy/26620670;RUR;83000.0;92000.0;Системный администратор
2;;;;;;Санкт-Петербург;Ollis Club (Оллис);https://api.hh.ru/employers/10794;https://hh.ru/vacancy/26803159;RUR;62000.0;92000.0;Системный администратор
3;4е;60.060011;30.361512;Парнас;Домостроительная улица;Санкт-Петербург;ФАУБЕХА;https://api.hh.ru/employers/33245;https://hh.ru/vacancy/26929629;RUR;60000.0;82000.0;Системный администратор
4;5;59.929921;30.313506;Садовая;переулок Гривцова;Санкт-Петербург;Российский аукционный дом;https://api.hh.ru/employers/900282;https://hh.ru/vacancy/26597258;RUR;80000.0;;Системный администратор Linux
5;;;;;;Санкт-Петербург;СПЛАТ;https://api.hh.ru/employers/1573351;https://hh.ru/vacancy/24943175;RUR;100000.0;;DevOps инженер /Системный администратор Linux
6;;;;;;Санкт-Петербург;Эт Хоум;https://api.hh.ru/employers/147891;https://hh.ru/vacancy/26037159;RUR;65000.0;80000.0;Ведущий системный администратор Linux
7;21;59.93378;30.228031;Приморская;Шкиперский проток;Санкт-Петербург;Аксель, Группа компаний;https://api.hh.ru/employers/96986;https://hh.ru/vacancy/26843367;RUR;75000.0;;Старший системный администратор
8;;;;;;Санкт-Петербург;SD Solutions;https://api.hh.ru/employers/2825486;https://hh.ru/vacancy/25616326;RUR;65000.0;85000.0;Системный администратор
9;44;59.98994;30.318815;;Сердобольская улица;Санкт-Петербург;Lenvendo;https://api.hh.ru/employers/1227460;https://hh.ru/vacancy/26905765;RUR;70000.0;150000.0;Системный администратор Linux
10;2Р;59.885309;30.280007;;улица Трефолева;Санкт-Петербург;Системная интеграция;https://api.hh.ru/employers/2950680;https://hh.ru/vacancy/26919167;RUR;80000.0;;Системный администратор по обслуживанию систем электронных очередей qmatic
11;9к2;60.040182;30.334652;Озерки;улица Есенина;Санкт-Петербург;Корда Групп;https://api.hh.ru/employers/1283725;https://hh.ru/vacancy/26568426;RUR;75000.0;;Ведущий системный администратор
12;29;59.910379;30.306948;;Измайловский проспект;Санкт-Петербург;Решение;https://api.hh.ru/employers/214731;https://hh.ru/vacancy/26854008;RUR;40000.0;80000.0;Системный администратор
13;22а;59.888487;30.327708;Московские ворота;Заставская улица;Санкт-Петербург;ТаймВэб;https://api.hh.ru/employers/230159;https://hh.ru/vacancy/26156092;RUR;80000.0;;Системный администратор Linux
14;49;59.994216;30.388048;;проспект Непокоренных;Санкт-Петербург;Специальный Технологический Центр;https://api.hh.ru/employers/2519536;https://hh.ru/vacancy/23960761;RUR;100000.0;;Старший системный/сетевой администратор
15;;;;;;Санкт-Петербург;Априори;https://api.hh.ru/employers/2670291;https://hh.ru/vacancy/24745460;RUR;80000.0;100000.0;Старший системный администратор
16;9;55.752136;37.542159;;1-й Красногвардейский проезд;Санкт-Петербург;Айпи Сервер;https://api.hh.ru/employers/860177;https://hh.ru/vacancy/26467686;RUR;55000.0;80000.0;Ведущий системный администратор
17;128;59.854436;30.481239;Пролетарская;проспект Обуховской Обороны;Санкт-Петербург;ВНИИРА;https://api.hh.ru/employers/598722;https://hh.ru/vacancy/25836379;RUR;80000.0;90000.0;Системный администратор (Linux, Solaris)
18;28к2Д;59.963778;30.343383;Площадь Ленина;Большой Сампсониевский проспект;Санкт-Петербург;Аркадия;https://api.hh.ru/employers/208902;https://hh.ru/vacancy/25273063;RUR;100000.0;;Системный администратор
19;138;59.908647;30.28007;Нарвская;набережная Обводного канала;Санкт-Петербург;Лаборатория Цифрового Зрения Информационные Системы;https://api.hh.ru/employers/3209869;https://hh.ru/vacancy/26209020;RUR;70000.0;;Системный администратор (с функциями DevOps Engineer)
20;26;59.941651;30.349474;Чернышевская;Литейный проспект;Санкт-Петербург;ИТ-ГРАД;https://api.hh.ru/employers/1189354;https://hh.ru/vacancy/26195388;RUR;80000.0;;Системный администратор IaaS (Cloud Administrator)
21;;;;;;Санкт-Петербург;Простое решение;https://api.hh.ru/employers/3121328;https://hh.ru/vacancy/26331500;RUR;80000.0;100000.0;Системный администратор Linux
22;38;59.94627;30.233439;Приморская;улица Беринга;Санкт-Петербург;ФГБУ Арктический и Антарктический Научно-Исследовательский Институт;https://api.hh.ru/employers/2021142;https://hh.ru/vacancy/26784940;RUR;65000.0;;Системный администратор
23;;;;Чёрная речка;;Санкт-Петербург;ConeDevelopers;https://api.hh.ru/employers/2889766;https://hh.ru/vacancy/26787066;RUR;60000.0;90000.0;DevOps / Системный администратор Linux
24;;;;;;Санкт-Петербург;УК Грандо;https://api.hh.ru/employers/2445932;https://hh.ru/vacancy/26944651;RUR;80000.0;100000.0;Руководитель службы системного администрирования, руководитель IT отдела
25;23;60.031661;30.403562;Гражданский проспект;Учительская ;Санкт-Петербург;Компания, СТЕК;https://api.hh.ru/employers/883571;https://hh.ru/vacancy/26945837;RUR;70000.0;;Программист 1С
26;16;59.915355;30.330439;Пушкинская;Рузовская улица;Санкт-Петербург;Медэкс;https://api.hh.ru/employers/1726513;https://hh.ru/vacancy/26766716;RUR;130000.0;;DevOps Engineer
27;22к2;59.888591;30.327672;Московские ворота;Заставская улица;Санкт-Петербург;SEMrush;https://api.hh.ru/employers/789662;https://hh.ru/vacancy/26887936;RUR;90000.0;180000.0;System Administrator (Linux)
28;;;;;;Санкт-Петербург;Fortis;https://api.hh.ru/employers/2496609;https://hh.ru/vacancy/26767824;RUR;100000.0;150000.0;DevOps / Build engineer
